Headline,Compound_Score,Sentiment_Label
"Major Investment Firm announces $1 Billion Bitcoin acquisition, boosting market confidence.",0.6908,Positive
Regulatory crackdown in Asia causes brief market instability and fear.,-0.4939,Negative
New decentralized finance (DeFi) project launches with strong community support.,0.7184,Positive
"Cryptocurrency exchange suffers security breach, resulting in minor losses.",-0.5267,Negative
"BTC price maintains steady rise, signaling strong investor holding.",0.5106,Positive
Analyst warns of upcoming correction after three weeks of extreme volatility.,-0.1027,Negative
Blockchain technology adopted by global logistics company for supply chain efficiency.,0.3612,Positive
Social media speculation drives minor meme coin prices to new highs.,0.0,Neutral
Inflation concerns push more institutional investors toward Bitcoin as a hedge.,0.0,Neutral
Energy usage of mining operations criticized in environmental report.,-0.1027,Negative
